"sens","spec","ppv","npv","acc"
0.994513009983492,0.710560237977194,0.955889686437476,0.953559547571524,0.955652055909893
0.994248538563077,0.719116769444997,0.957272974853996,0.951816745655608,0.956710544171529
0.994210674950579,0.711314308681672,0.956628724978111,0.950456498388829,0.956004885330438
0.994099877277447,0.721180418476115,0.957202157314265,0.951184587347045,0.956574840548243
0.994496076488811,0.714526190711952,0.956400096787853,0.953740417657943,0.956127018591396
0.994093436802916,0.71670653907496,0.957020143971931,0.950303991541105,0.956330574026326
0.994354014311551,0.711429985155863,0.955913035590094,0.952437731849497,0.955557063373592
0.994105163876444,0.710272952853598,0.955879018727611,0.950205815960696,0.955299226489347
0.99449512425291,0.714836795252226,0.95639284255744,0.953807575557609,0.956127018591396
0.994176098456902,0.7139281065385,0.956835727991056,0.950539928009599,0.95619487040304
0.99432969449462,0.715610972568579,0.956904240042325,0.952090245520902,0.956411996200299
0.994420081419657,0.715363988479492,0.956662432710337,0.9530299020905,0.95628986293934
0.994528129815403,0.713040031708284,0.956218063072597,0.953870625662778,0.955977744605781
0.994520074740528,0.71518544436669,0.956955293335549,0.953485272557644,0.9566019812729
0.993818227577312,0.70699881376038,0.955189356716305,0.947912524850895,0.954444293662641
0.993797500157025,0.718368978612832,0.95737213910781,0.947909798232889,0.95639842583797
0.994227472199066,0.710273904874913,0.955700030238887,0.951390728476821,0.955258515402361
0.994658203585288,0.716462503734688,0.956965354616361,0.954871250331829,0.956751255258515
0.994280326838466,0.71910447761194,0.957291335723687,0.952048478461336,0.956751255258515
0.993658337005099,0.709327548806941,0.955396184164738,0.94695274450441,0.954525715836613
0.994358893777498,0.70955223880597,0.955906344410876,0.952069425901202,0.955516352286606
0.994048179905148,0.712045545345585,0.956438306488169,0.949520511454449,0.955733478083865
0.994278348894967,0.715746624305004,0.956697974802244,0.951934504159514,0.956208440765368
0.994755189849565,0.71552757793765,0.956990709268072,0.955436957971981,0.956832677432487
0.994574192026421,0.706481939633845,0.955200435005891,0.953901656867985,0.95506853032976
0.99420285301326,0.71667662881052,0.956991849017799,0.951209837366125,0.95639842583797
0.993954715322049,0.71641343462615,0.957104841392241,0.949020127118644,0.956276292577012
0.994282483035939,0.715639337721923,0.956901634140073,0.951717734447539,0.956371285113312
0.994096311764983,0.721827817218278,0.957909070277631,0.950493745885451,0.957144795766047
0.993971742543171,0.72032032032032,0.957737104825291,0.94934036939314,0.956873388519473
0.994161893371939,0.70814435022678,0.955244416892209,0.950880444856348,0.954797123083186
0.99396007990311,0.712152674775042,0.9559633305095,0.949380437648299,0.955285656127019
0.994316219186686,0.717,0.957223616191542,0.951938396176314,0.956683403446872
0.994073352093191,0.70989185435063,0.955802775174582,0.949946893255443,0.955204233953047
0.99436579930318,0.718812675491376,0.957619817722897,0.95230503520659,0.957076943954404
0.99385249123469,0.712996926737385,0.956207360793864,0.948437293946987,0.955407789387977
0.99428535444971,0.713541154489134,0.955911065369073,0.952355952224701,0.955543493011263
0.994347355033209,0.714985504348695,0.956919217866965,0.952076677316294,0.956425566562627
0.994526752854581,0.717847249703205,0.956844112217414,0.954234613361389,0.956574840548243
0.994125316117682,0.723247232472325,0.957995277306854,0.950957251507999,0.957266929027005
0.994212016357345,0.708011869436202,0.955383592285835,0.95110284347595,0.954946397068802
0.994468279037606,0.712339663915681,0.95628192341403,0.953166577967004,0.955964174243452
0.994149379551138,0.716236271890769,0.956597406135081,0.951123374063855,0.956032026055096
0.994093065636095,0.715922678357912,0.956887296042583,0.950271128157651,0.956208440765368
0.994362914908358,0.71076409349833,0.955442923065285,0.952863726135616,0.955177093228389
0.994055762607916,0.714031092187345,0.956309284277091,0.950191066016603,0.95567919663455
0.994311485456574,0.715806226996916,0.956798524163794,0.952103731145806,0.956317003663998
0.994026566061463,0.713449131513648,0.95633828377847,0.949788583509514,0.955665626272222
0.994277989121891,0.709210003969829,0.955726805681475,0.951531291611185,0.955299226489347
0.994784220696589,0.717246189100329,0.957103341948941,0.955915549063869,0.956981951418103
0.994403659629321,0.711322814329662,0.956034821509537,0.952684742158426,0.955692766996879
0.994200301772916,0.715080468905225,0.956626287373531,0.951235628386415,0.956072737142082
0.99399059260308,0.719944680430702,0.957058467131172,0.95019556714472,0.956344144388655
0.99388230113547,0.717141726049089,0.956733025509045,0.949050425671251,0.955937033518795
0.994128267524923,0.719259629814907,0.957566500824172,0.950548724051302,0.956846247794816
0.993728387299591,0.714597815292949,0.956517134427718,0.947465437788018,0.955584204098249
0.994333521692723,0.722500500901623,0.958104572197771,0.952330648356002,0.957511195548921
0.993735968726942,0.721004703292305,0.957812547286869,0.947527617043661,0.956751255258515
0.994451953603873,0.72068759936407,0.957463228618122,0.953589271627662,0.957063373592075
0.993466926314467,0.714299980027961,0.956730841941289,0.945038974765491,0.955529922648935
0.994403571653147,0.718098829132764,0.957017716386523,0.953114710917951,0.956615551635229
0.994720135767937,0.708714683645046,0.955790427298807,0.954959785522788,0.955706337359208
0.994827206691614,0.713620142743854,0.956334451800127,0.956296493092455,0.956330574026326
0.994456484186061,0.714842189372753,0.956860078573587,0.952996005326232,0.956466277649613
0.994391730551715,0.717161650388679,0.957089072682462,0.952734012974977,0.956642692359886
0.994176646941562,0.713555755936279,0.956810731604151,0.950487121313226,0.956167729678382
0.994783892912693,0.716462503734688,0.956970558007376,0.955886260961998,0.956859818157145
0.994373192505973,0.717961454400954,0.957053172982377,0.952801582069875,0.956615551635229
0.99407661125601,0.720927917164476,0.957576583121443,0.950511945392492,0.956846247794816
