"sens","spec","ppv","npv","acc"
0.974688206244245,0.907130060910068,0.978225440615602,0.893303224895914,0.961894422581083
0.975223905582992,0.908419921175206,0.978532914517998,0.895458077276259,0.962572940697517
0.975441533439357,0.909136510211394,0.978701961838216,0.89635438745231,0.962885059031076
0.974052063279484,0.908276603367968,0.97847473303624,0.89103690685413,0.961595874609852
0.974487318992216,0.907058402006449,0.97820461114472,0.89253983923283,0.96171800787081
0.974855612287604,0.90820494446435,0.978475652787579,0.894046275395034,0.9622336816393
0.974771909265924,0.905195270512361,0.977783748383738,0.893415375910602,0.961595874609852
0.973198292458358,0.906556789681118,0.978061172986978,0.887664889138366,0.960578097435202
0.974236209927178,0.904550340379792,0.977623975272141,0.891328908346279,0.961039489754376
0.974353394157529,0.907130060910068,0.978218121312963,0.892044253400042,0.961623015334509
0.973382439106052,0.90526692941598,0.977769182908168,0.888209238557266,0.960483104898901
0.975491755252365,0.909566463633106,0.978801673021685,0.896588260224624,0.963007192292034
0.974721687452917,0.90412038695808,0.977536390040797,0.893112479648899,0.961351608087936
0.974453837783544,0.908993192404156,0.978647926158812,0.892618394201675,0.962057266929027
0.974370134761865,0.903188821211035,0.977315086894467,0.891687301025822,0.960890215768761
0.973583326358082,0.90820494446435,0.978448130825398,0.889278697726635,0.96120233410232
0.974771909265924,0.906700107488355,0.97812867461784,0.893573446327684,0.961880852218754
0.974688206244245,0.904836975994267,0.977699786737418,0.893061744112031,0.961460170986565
0.974252950531514,0.907703332139018,0.978347482558628,0.89172826469553,0.961650156059167
0.975491755252365,0.904335363668936,0.977602925879945,0.896052257881284,0.962016555842041
0.97447057838788,0.907918308849875,0.978401546348433,0.89256780556534,0.961867281856426
0.975023018330962,0.909208169115013,0.978709460594858,0.894781382228491,0.962559370335188
0.974035322675149,0.911787889645288,0.979281326264411,0.891348511383538,0.962247252001628
0.97426969113585,0.909208169115013,0.978693349028841,0.89195079086116,0.961948704030398
0.974755168661589,0.90641347187388,0.978062587136546,0.893480257116621,0.961813000407111
0.974437097179208,0.904550340379792,0.977628485052066,0.89208480565371,0.96120233410232
0.975993973382439,0.908419921175206,0.978549488913879,0.898377152576005,0.963197177364636
0.975525236461036,0.906198495163024,0.978030277600618,0.896370853416501,0.962396525987244
0.974805390474596,0.907345037620924,0.978277304571342,0.893767205477518,0.96203012620437
0.974135766301163,0.907273378717306,0.978246251092731,0.891243136702802,0.961473741348894
0.97478864987026,0.906915084199212,0.978178336245128,0.893659087699477,0.961935133668069
0.974353394157529,0.909853099247582,0.978843275424228,0.892332560264249,0.962138689102999
0.974587762618231,0.912432819777857,0.979441107690237,0.893481159216897,0.962817207219433
0.974604503222566,0.909279828018631,0.978716965906798,0.893214134872589,0.9622336816393
0.974889093496275,0.909996417054819,0.978887562824629,0.89435875765899,0.962600081422174
0.974353394157529,0.909423145825869,0.978744513763936,0.892287140547001,0.962057266929027
0.974504059596551,0.907273378717306,0.97825429368467,0.892625493513818,0.961772289320125
0.974654725035574,0.903690433536367,0.977436414001511,0.892814159292035,0.961215904464649
0.974303172344522,0.906055177355786,0.977970459242829,0.891741307567529,0.961378748812593
0.974654725035574,0.906270154066643,0.978027516000605,0.893086646423275,0.961704437508481
0.974035322675149,0.907273378717306,0.978244056625979,0.890866873065015,0.961392319174922
0.974738428057253,0.908706556789681,0.978588235294118,0.893657505285412,0.9622336816393
0.973667029379761,0.908276603367968,0.978466404225968,0.889598540145985,0.961283756276293
0.974403615970536,0.909996417054819,0.978877266153173,0.892535844813045,0.962206540914642
0.974035322675149,0.905911859548549,0.977931660419853,0.890720777848235,0.961134482290677
0.974018582070813,0.910426370476532,0.978967913448757,0.891141193799537,0.961975844755055
0.973600066962417,0.905410247223218,0.97780692020579,0.88903743315508,0.960686660333831
0.974319912948857,0.908276603367968,0.97848052319228,0.892040256175663,0.961813000407111
0.974520800200887,0.906843425295593,0.978156033135617,0.892643013331452,0.961704437508481
0.974219469322843,0.907488355428162,0.978297414517702,0.891579836665728,0.961582304247523
0.974688206244245,0.907058402006449,0.978209005376344,0.893295695130558,0.961880852218754
0.975341089813342,0.905195270512361,0.977796425274817,0.89556894718185,0.962057266929027
0.975140202561313,0.908348262271587,0.978514673520469,0.895134524397994,0.962491518523545
0.973399179710388,0.905625223934074,0.977851773371677,0.888310958037534,0.960564527072873
0.974135766301163,0.910139734862057,0.978904515173945,0.891548504843465,0.962016555842041
0.974721687452917,0.90820494446435,0.978472759049508,0.893542019176537,0.96212511874067
0.973399179710388,0.9099247581512,0.978839452552901,0.888780009799118,0.961378748812593
0.974119025696828,0.908993192404156,0.978640744042113,0.891363923828262,0.961785859682454
0.973985100862141,0.911931207452526,0.979313246928127,0.891176470588235,0.9622336816393
0.973800954214447,0.910713006091007,0.979029217719133,0.890360095278128,0.961853711494097
0.974604503222566,0.906700107488355,0.978125,0.892942836979534,0.961745148595467
0.974604503222566,0.90935148692225,0.9787334196325,0.893221651298656,0.962247252001628
0.975173683769984,0.910927982801863,0.979107488024204,0.895526593871081,0.963007192292034
0.973985100862141,0.9087782156933,0.978588488579406,0.890840123630233,0.961636585696838
0.974520800200887,0.908563238982444,0.978550656423877,0.892824448982466,0.96203012620437
0.974771909265924,0.906843425295593,0.978161537427765,0.893588476203926,0.961907992943412
0.973683769984096,0.908491580078825,0.978516150740242,0.889684210526316,0.961338037725607
0.975106721352641,0.906126836259405,0.978004634138151,0.894777809227286,0.962043696566698
0.974688206244245,0.908348262271587,0.978504924204228,0.893431068508599,0.96212511874067
