"acc2_m","acc2_f","acc2_ibaem","acc2_ibap","acc2_ibna"
0.982599795291709,0.980407777141577,0.992009385800805,0.994901792422454,0.954813123422666
0.982780420254079,0.980582040877293,0.992516726384881,0.995545776537512,0.953911789448384
0.982900836895659,0.981079937265055,0.992358182452358,0.99479446173661,0.95607499098666
0.982599795291709,0.982025940401802,0.992833814249929,0.995867768595041,0.95607499098666
0.982720211933289,0.981752097388533,0.992516726384881,0.995331115165826,0.956495613507992
0.983292190980794,0.981528044014041,0.993024066968957,0.995331115165826,0.95607499098666
0.983322295141189,0.981702307749757,0.99204109458731,0.99441880433616,0.957937747866843
0.983623336745138,0.981951255943638,0.992136220946824,0.994955457765375,0.959319793294075
0.982991149376844,0.980905673529339,0.99270697910391,0.994526135022003,0.95607499098666
0.983653440905533,0.981776992207922,0.992928940609443,0.996243425995492,0.956255257781517
0.983051357697634,0.980606935696682,0.991819133081777,0.994257808307395,0.957396947482274
0.983051357697634,0.981179516542607,0.992833814249929,0.995760437909198,0.955293834875616
0.98151604551749,0.981826781846698,0.992485017598376,0.996297091338414,0.953911789448384
0.982148232885785,0.981577833652817,0.991755715508768,0.995438445851669,0.957216680687417
0.982720211933289,0.98075630461301,0.992421600025367,0.995384780508747,0.954512678764572
0.983683545065928,0.981254201000772,0.993214319687986,0.995384780508747,0.955714457396947
0.98229875368776,0.981528044014041,0.992548435171386,0.99581410325212,0.957637303208749
0.98217833704618,0.980382882322189,0.992263056092843,0.995760437909198,0.954212234106478
0.983653440905533,0.981303990639548,0.992865523036433,0.995599441880434,0.956315346713135
0.983201878499609,0.981951255943638,0.992897231822938,0.995384780508747,0.957036413892561
0.982328857848155,0.981826781846698,0.993119193328471,0.995653107223355,0.955834635260185
0.982780420254079,0.9814035699171,0.992516726384881,0.995921433937963,0.956135079918279
0.982148232885785,0.98180188702731,0.992263056092843,0.994740796393689,0.956976324960942
0.984165211632248,0.982424257512012,0.993150902114976,0.995223784479983,0.959680326883788
0.982810524414474,0.981602728472205,0.992009385800805,0.995170119137061,0.957276769619036
0.982930941056054,0.981453359555876,0.993214319687986,0.995438445851669,0.954152145174859
0.98241917032934,0.980606935696682,0.991755715508768,0.995009123108297,0.954993390217522
0.983472815943163,0.982001045582414,0.992928940609443,0.995009123108297,0.956976324960942
0.982900836895659,0.98063183051607,0.992675270317405,0.994687131050767,0.953971878380002
0.983111566018424,0.981453359555876,0.992611852744395,0.995867768595041,0.956976324960942
0.983111566018424,0.980656725335458,0.991565462789739,0.996082429966727,0.954512678764572
0.983502920103558,0.982175309318131,0.993024066968957,0.996189760652571,0.956796058166086
0.982539586970919,0.981552938833429,0.992548435171386,0.995331115165826,0.95559427953371
0.983201878499609,0.981453359555876,0.992294764879348,0.99511645379414,0.955894724191804
0.98235896200855,0.981503149194653,0.992802105463424,0.994740796393689,0.955173657012378
0.982930941056054,0.981079937265055,0.992358182452358,0.995438445851669,0.95709650282418
0.983533024263953,0.982399362692624,0.992928940609443,0.995331115165826,0.957336858550655
0.983442711782768,0.981378675097712,0.992167929733329,0.995599441880434,0.956375435644754
0.982569691131314,0.982200204137519,0.993119193328471,0.995277449822904,0.956435524576373
0.983051357697634,0.982050835221191,0.992294764879348,0.995170119137061,0.957637303208749
0.983322295141189,0.98127909582016,0.991565462789739,0.995438445851669,0.957697392140368
0.982930941056054,0.981702307749757,0.992928940609443,0.995062788451218,0.95559427953371
0.982569691131314,0.981005252806891,0.991914259441291,0.995170119137061,0.955834635260185
0.983533024263953,0.982001045582414,0.992802105463424,0.995438445851669,0.958658815046268
0.983412607622373,0.981328885458936,0.992802105463424,0.995170119137061,0.957457036413893
0.982840628574869,0.981129726903831,0.992421600025367,0.995223784479983,0.956675880302848
0.980703233186826,0.98127909582016,0.99204109458731,0.995492111194591,0.95511356808076
0.984014690830273,0.980980357987503,0.992675270317405,0.996082429966727,0.955834635260185
0.982720211933289,0.980830989071174,0.992167929733329,0.995545776537512,0.953911789448384
0.98217833704618,0.980557146057905,0.992865523036433,0.995009123108297,0.952409566157914
0.98241917032934,0.981005252806891,0.992453308811872,0.994848127079532,0.954933301285903
0.983803961707508,0.982797679802833,0.993404572407014,0.994633465707846,0.9590794375676
0.981365524715516,0.981453359555876,0.992294764879348,0.994687131050767,0.955353923807235
0.982961045216449,0.9814035699171,0.992294764879348,0.995384780508747,0.958238192524937
0.982690107772894,0.981428464736488,0.992802105463424,0.995438445851669,0.954753034491047
0.983081461858029,0.980830989071174,0.992516726384881,0.99581410325212,0.953791611585146
0.984165211632248,0.980731409793622,0.992453308811872,0.995331115165826,0.955894724191804
0.98193750376302,0.981229306181384,0.992485017598376,0.995062788451218,0.955474101670472
0.983021253537239,0.982424257512012,0.992167929733329,0.996189760652571,0.957276769619036
0.982088024564995,0.981254201000772,0.99270697910391,0.995492111194591,0.95457276769619
0.982539586970919,0.98192636112425,0.992358182452358,0.995653107223355,0.957457036413893
0.98193750376302,0.981204411361996,0.992358182452358,0.995062788451218,0.954632856627809
0.982509482810524,0.982100624859967,0.992009385800805,0.995545776537512,0.957757481071987
0.982780420254079,0.982200204137519,0.9933094460475,0.995653107223355,0.955293834875616
